SR.,09 SEPT,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
, RUTE,VEHICLE,T-POI,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,TOTAL
1,01-01-0086 ,GJ04GB0086,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,01-02-0283,GJ04GB0283,61,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,01-03-0107,GJ04GB0107,78,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
4,01-04-0137,GJ06BX0137,24,0,0,0,0,0,0,3,0,0,6,4,6,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
5,01-05-0057,GJ06BX0057,21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4
6,01-06-0364, GJ04GB0364,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,01-07-0078, GJ04GB0078,57,0,1,0,0,0,1,1,1,0,0,0,5,5,0,1,0,0,0,0,0,5,1,1,0,0,0,6,0,1,0,29
8,01-08-0426, GJ04GB0426,62,0,0,0,0,0,1,0,0,0,0,0,1,6,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
9,01-09-0823, GJ04GA0823,71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,9
10,01-10-0728, GJ04BX0728,78,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,9
11,01-11-0216,GJ06BX0216,10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
12,02-01-0496,GJ04GB0496,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
13,02-02-0308,GJ04GB0308,52,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
14,02-03-0298,GJ04GB0298,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,02-04-1804,GJ06BX1804,22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,02-05-0260,GJ04GB0260,42,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6
17,02-06-0038,GJ04GB0038,43,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
18,02-07-0278,GJ04GB0278,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,02-08-0185,GJ06BX0185,39,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
